0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
 10003167 ;AL ;ARAPIRACA ;Povoado Canaã ;RUA PROJETADA, N. 05, DOIS GALPÕES PARA DEPÓSITO ;20.510,00;350.000,00;94.14;Comercial, 0.00 de área total, 389.79 de área privativa, 542.12 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10003167,,,,,,,
 10008288 ;AL ;RIO LARGO ;CENTRO ;RUA CANDIDO LINS, N. 148 ;107.201,40;183.000,00;41.42;Comercial, 116.60 de área total, 116.60 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10008288,,,,,,,,
 1444405417473 ;AL ;SANTA LUZIA DO NORTE ;CENTRO ;TRAVESSA ANTONIO RODRIGUES DE LIMA, N. SN, LOTE 08 ;64.393,35;41.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 192.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405417473,,,,,,,
 1444406879888 ;AL ;TAQUARANA ;TAQUARANA ;RUA FLORIANO DE SOUZA CASTRO, N. 0, LT 01 ATUAL N 100 ;421.217,89;421.217,89;0.00;Casa, 0.00 de área total, 155.75 de área privativa, 480.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406879888,,,,,,,
 8444401620949 ;AL ;TEOTONIO VILELA ;DEPUTADO BENEDITO DE LIRA ;RUA DELMIRO GOUVEIA, N. 9 ;63.743,20;61.500,00;0.00;Casa, 0.00 de área total, 72.00 de área privativa, 108.00 de área do terreno, a.serv.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401620949,,,,,,,
 1444403191494 ;AL ;VICOSA ;CENTRO ;RUA SAO SEBASTIAO, LT 38 QD C ;27.298,60;45.400,31;39.88;Terreno, 0.00 de área total, 0.00 de área privativa, 320.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403191494,,,,,,,,
 8444405423781 ;BA ;ALAGOINHAS ;SILVA JARDIM ;RUA A, N. SN ;203.490,00;315.000,00;35.40;Casa, 0.00 de área total, 180.80 de área privativa, 223.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 3 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405423781,
 8555525473508 ;BA ;ALAGOINHAS ;MANGALO ;RUA BAIXA DO CORTE, N. SN, LT 12 QD C CS 64 ;120.000,00;120.000,00;0.00;Casa, 0.00 de área total, 39.28 de área privativa, 135.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555525473508,,
 8555535720605 ;BA ;ALAGOINHAS ;CATU ;RUA CONSELHEIRO JUNQUEIRA SN APARTAMENTO 004 BLOCO, N. SN, Apto 4, BL 02 TIPO A ;133.000,00;133.000,00;0.00;Apartamento, 0.00 de área total, 43.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535720605,
 8555537359330 ;BA ;ALAGOINHAS ;CATU ;RUA CONSELHEIRO JUNQUEIRA, N. 0, QUADRA Q  LOTE 7 ;152.000,00;152.000,00;0.00;Casa, 0.00 de área total, 50.02 de área privativa, 136.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537359330,,,
 8787704075931 ;BA ;ALAGOINHAS ;CATU ;RUA CONSELHEIRO JUNQUEIRA, N. SN, Apto 202, BL 22 ;144.000,00;144.000,00;0.00;Apartamento, 0.00 de área total, 43.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704075931,
 8444416490264 ;BA ;ALAGOINHAS ;PARQUE VERDE ;RUA 1 DARCY RIBEIRO, N. 162, QD 01 LT 07 ;120.000,00;120.000,00;0.00;Casa, 43.19 de área total, 43.19 de área privativa, 153.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416490264,,
 8555537083238 ;BA ;ALAGOINHAS ;SAO JERONIMO ;AVENIDA CONSELHEIRO JUNQUEIRA, N. 0, Apto 304, BLOCO 11  TIPO A ;137.000,00;137.000,00;0.00;Apartamento, 0.00 de área total, 43.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537083238,
 1444415821854 ;BA ;ALAGOINHAS ;ALAGOINHAS VELHA ;AVENIDA AYRTON SENNA, N. 58 ;210.551,40;210.000,00;0.00;Casa, 0.00 de área total, 68.57 de área privativa, 170.41 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415821854,,,
 8787704111180 ;BA ;ALAGOINHAS ;ALAGOINHAS VELHA ;RUA PROJETADA ORIGINADA DA AV PAULO AFONSO, N. SN, Apto 103, BLOCO 23 ;132.273,00;131.000,00;0.00;Apartamento, 0.00 de área total, 45.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704111180,
 8444421956098 ;BA ;ALAGOINHAS ;BARREIRO ;RUA VIA DE PENETRACAO II, N. 179, 0 ;111.366,20;109.000,00;0.00;Casa, 0.00 de área total, 40.05 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421956098,,
 8444420942255 ;BA ;ALAGOINHAS ;BARREIRO ;RUA G, N. 181 ;118.524,00;115.000,00;0.00;Casa, 0.00 de área total, 40.05 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420942255,
 8555532401029 ;BA ;ALAGOINHAS ;MANGALO ;RUA BAIXA DO CORTE, N. SN, CASA 61 ;105.238,00;102.000,00;0.00;Casa, 0.00 de área total, 39.28 de área privativa, 135.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555532401029,,,
 8555539149457 ;BA ;ALAGOINHAS ;MANGALO ;RUA BAIXA DO CORTE, N. SN, CS 140 LT 37 QD H ;135.580,00;120.000,00;0.00;Casa, 0.00 de área total, 39.28 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539149457,,,
 8555519734966 ;BA ;ALAGOINHAS ;MANGALO ;RUA CORA CORALINA, N. SN, L 13 Q 06 CS 259 ;100.000,00;73.000,00;0.00;Casa, 0.00 de área total, 43.19 de área privativa, 233.05 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555519734966,,
 8555516940425 ;BA ;ALAGOINHAS ;MANGALO ;RUA MACHADO DE ASSIS, N. 145, QUADRA 02  LOTE 43 ;159.579,20;112.000,00;0.00;Casa, 0.00 de área total, 43.19 de área privativa, 153.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555516940425,,,,,,,
 8444417326468 ;BA ;BARREIRAS ;PRESIDENTE MEDICI ;RUA NOVA AVENIDA, N. 331, LT P17A QD H ;175.000,00;250.000,00;30.00;Casa, 76.80 de área total, 76.80 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417326468,,,
 1078300206250 ;BA ;BARREIRAS ;MORADA NOBRE ;RUA T, N. SN, LT 05 QD09 ;483.000,00;483.000,00;0.00;Casa, 143.24 de área total, 143.24 de área privativa, 190.50 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1078300206250,,
 8444412739888 ;BA ;BOA VISTA DO TUPIM ;JARDIM EUROPA ;RUA BERLIN, QD B, LT 05 ;38.794,00;70.000,00;44.58;Casa, 0.00 de área total, 47.61 de área privativa, 286.98 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412739888,,
 8444408904845 ;BA ;BOA VISTA DO TUPIM ;ALTO DO MATADOURO ;RUA INSTAMBUL, N. 08, QD F, LT 08 ;37.776,00;60.000,00;37.04;Casa, 0.00 de área total, 41.70 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408904845,
 8444407619284 ;BA ;BOA VISTA DO TUPIM ;CENTRO ;RUA LONDRES, N. SN, LT 03 QD F ;60.000,00;60.000,00;0.00;Casa, 0.00 de área total, 41.70 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407619284,,
 8444416143653 ;BA ;BOA VISTA DO TUPIM ;CENTRO ;RUA ISTAMBUL, N. SN, QD E LT 03 ;87.500,00;87.500,00;0.00;Casa, 0.00 de área total, 47.61 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416143653,,
 8444419742876 ;BA ;BOM JESUS DA LAPA ;SHANGRI-LA ;RUA SANTA CATARINA, N. 1049, EE33 ;84.000,00;140.000,00;40.00;Casa, 69.69 de área total, 69.69 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419742876,,
 1444406120431 ;BA ;BOM JESUS DA LAPA ;SHANGRI-LA ;RUA RUA JOÃO PAULO, N. 0, LT 13,14,17 ;119.000,00;170.000,00;30.00;Terreno, 0.00 de área total, 0.00 de área privativa, 900.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406120431,,,,,
 8555503253793 ;BA ;BRUMADO ;SANTA TEREZA ;RUA  MARINHA LOBO, N. 141, 0 ;123.515,56;120.000,00;0.00;Casa, 0.00 de área total, 200.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555503253793,
 10011806 ;BA ;CAETITE ;BRÁS ;ESTRADA BRAS A BOM JESUS DA LAPA, FAZENDA TUCANO ;742.116,75;1.290.000,00;42.48;Terreno, 0.00 de área total, 0.00 de área privativa, 20000.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10011806,,,,,,,,
 10147360 ;BA ;CAETITE ;CENTRO ;RUA AMBROZINO JOSE DOS SANTOS, N. S/N ;711.186,00;980.000,00;27.43;Comercial, 0.00 de área total, 599.87 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10147360,,,,,,,,
 1555504456991 ;BA ;CAETITE ;BUENOS AIRES ;AVENIDA OLIMAR OLIVEIRA RODRIGUES, N. SN, Q 1 L 9 E PARTE DO L 8 ;139.006,00;138.700,00;0.00;Casa, 0.00 de área total, 108.00 de área privativa, 363.60 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555504456991,,
 1555514372855 ;BA ;CAMACARI ;JAUA ABRANTES ;RUA AREIA BRANCA, N. S/N, QD A LT 07 ;266.592,00;480.000,00;44.46;Casa, 0.00 de área total, 165.00 de área privativa, 1000.00 de área do terreno,  3 qto(s), WC, WC Emp, 1 sala(s), DCE, cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555514372855,
 8555534993764 ;BA ;CAMACARI ;CATU DE ABRANTES ABR ;RUA SUCUPIO, N. SN, Apto 204, BLOCO 05 ;144.090,82;144.090,82;0.00;Apartamento, 0.00 de área total, 39.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534993764,,
 1444409192328 ;BA ;CAMACARI ;BOA UNIAO ;RUA DO BOSQUE N SN 02, N. 0 ;437.953,22;430.170,00;0.00;Casa, 0.00 de área total, 119.12 de área privativa, 258.98 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444409192328,,
 8787701090786 ;BA ;CAMACARI ;CATU DE ABRANTES ABR ;RUA  SUCUPIO, N. 2, Apto 404, BL 18 ;127.163,00;121.000,00;0.00;Apartamento, 0.00 de área total, 39.03 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701090786,,
 8444408862816 ;BA ;CANAVIEIRAS ;BAIRRO JOAO FONFON ;RUA OSVALDO NASCIMENTO N 99  99, N. 90, N90 ;100.000,00;100.000,00;0.00;Casa, 0.00 de área total, 84.39 de área privativa, 125.67 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408862816,
 8444406262374 ;BA ;CANDIDO SALES ;Usina ;RUA JOAO MANGABEIRAN 651, N. 651 ;95.000,00;95.000,00;0.00;Casa, 0.00 de área total, 85.00 de área privativa, 189.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406262374,,
 10005620 ;BA ;CATU ;Lot Plan Água Grande ;RUA DAS MARGARIDAS, N. S/N, RUA E ;825.000,00;825.000,00;0.00;Galpão, 0.00 de área total, 472.00 de área privativa, 1200.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10005620,,,,,,,
 8444414247281 ;BA ;CATU ;OSCAR PEREIRA DE SOU ;RUA BELARMINA BRAGA GOES, N. 173, CS A 1ANDAR ;165.190,00;124.000,00;0.00;Casa, 0.00 de área total, 102.60 de área privativa, 108.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414247281,
 8444422828875 ;BA ;CATU ;FLEMING ;RUA FLORENTINO PINTO, N. 0, CASA 09 ;158.400,00;90.000,00;0.00;Casa, 0.00 de área total, 57.75 de área privativa, 57.75 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422828875,,,
 1444407734425 ;BA ;CONCEICAO DO JACUIPE ;CENTRO ;RUA NOVA DA VOLTA, N. S/N ;123.212,59;167.000,00;26.23;Terreno, 384.00 de área total, 0.00 de área privativa, 384.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407734425,,,,,,,,
 1444405688817 ;BA ;CONCEICAO DO JACUIPE ;BESSA ;RUA R, N. S/N, QD 17, LT 385, UNID 385 ;203.632,80;276.000,00;26.22;Terreno, 956.70 de área total, 0.00 de área privativa, 956.70 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405688817,,,,,
 8444401897967 ;BA ;DIAS D'AVILA ;NOVA DIAS D'AVILA ;RUA JANDAIA ANTIGA RUA VP29 N 287, N. 287, LT 175 QD C3 ;127.237,25;95.000,00;0.00;Casa, 0.00 de área total, 59.38 de área privativa, 183.75 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401897967,,
 1444405854890 ;BA ;ENTRE RIOS ;FAZENDA MILAGRES ;RUA EUSTAQUIO MOURA, N. SN, LT 09 ;125.000,00;125.000,00;0.00;Casa, 0.00 de área total, 88.00 de área privativa, 287.02 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405854890,
 8444405829664 ;BA ;ENTRE RIOS ;CASA FAZ MILAGRES ;RUA PROJETADA, N. 11, QUADRA D ;124.000,00;124.000,00;0.00;Casa, 0.00 de área total, 91.65 de área privativa, 187.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405829664,,
 1444408186723 ;BA ;ESPLANADA ;TIMBO ;RUA DO PONTAL, N. 276 ;43.018,50;85.000,00;49.39;Casa, 0.00 de área total, 72.00 de área privativa, 174.72 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408186723,,,
 8444412270910 ;BA ;ESPLANADA ;Timbó ;RUA DAS HORTENCIAS, N. 113 ;57.636,80;104.000,00;44.58;Casa, 0.00 de área total, 62.36 de área privativa, 205.57 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412270910,,,
 8444409778363 ;BA ;ESPLANADA ;CENTRO ;RUA SAO JOSE, N. S/N ;30.370,16;54.800,00;44.58;Casa, 0.00 de área total, 56.02 de área privativa, 100.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409778363,,,
 8444407249673 ;BA ;ESPLANADA ;TIMBO ;LOTEAMENTO GIOMAR MARFUZ DE OLIVEIRA, N. 139 ;43.069,19;76.000,00;43.34;Casa, 0.00 de área total, 72.65 de área privativa, 108.57 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407249673,,
 1555534057750 ;BA ;ESPLANADA ;CENTRO ;RUA B, N. 0, LT 03, QD B ;93.722,50;4.875,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 25.00 de área do terreno, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555534057750,,
 8444403225460 ;BA ;EUCLIDES DA CUNHA ;CENTRO ;RUA DOM PEDRO II, N. 809 ;73.670,99;130.000,00;43.34;Casa, 0.00 de área total, 95.10 de área privativa, 125.00 de área do terreno,  3 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403225460,,,
 8444421077116 ;BA ;EUCLIDES DA CUNHA ;ALTO DA SANTA CRUZ I ;RUA L, N. 65, QD 05 LT 12D ;79.338,00;140.000,00;43.33;Casa, 69.10 de área total, 69.10 de área privativa, 144.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421077116,,,
